City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
337,Staryy Nadym,65.6118,72.6842,73.02,40,99,12.21,RU,overcast clouds
338,Harrisonburg,38.4496,-78.8689,61.38,69,0,0.0,US,clear sky
339,Mindszent,46.5236,20.1904,64.04,51,0,6.67,HU,clear sky
340,Petropavlovsk-Kamchatskiy,53.0452,158.6483,64.99,59,20,17.9,RU,few clouds
341,Launceston,-41.45,147.1667,56.61,79,100,14.97,AU,overcast clouds
342,Oyama,36.3,139.8,88.59,38,100,4.76,JP,overcast clouds
343,Palmer,42.1584,-72.3287,56.17,75,40,5.75,US,scattered clouds
344,Lumeje,-11.55,20.7833,54.5,53,81,2.39,AO,broken clouds
345,Jijiga,9.35,42.8,62.1,71,39,13.94,ET,scattered clouds
346,Malindi,-3.2175,40.1191,78.96,73,40,17.27,KE,scattered clouds
